"PROD_ID","DATE_ORDER","QTY_ORDER","REVENUE","day","month","week","PROD_PRICE"
"P1",2015-07-27,1,1490.17,2,7,30,1490.17
"P1",2015-07-30,1,1499,5,7,31,1499
"P1",2015-07-28,1,1499,3,7,30,1499
"P1",2015-07-25,1,1499,7,7,30,1499
"P1",2015-07-29,1,1499,4,7,31,1499
"P1",2015-07-29,1,1499,4,7,31,1499
"P1",2015-07-26,1,1499,1,7,30,1499
"P1",2015-08-02,1,1499,1,8,31,1499
"P1",2015-07-23,1,1499,5,7,30,1499
"P1",2015-07-24,1,1499,6,7,30,1499
"P1",2015-07-20,1,1499,2,7,29,1499
"P1",2015-07-23,1,1499,5,7,30,1499
"P1",2015-08-01,1,1499,7,8,31,1499
"P1",2015-07-28,1,1499,3,7,30,1499
"P1",2015-07-27,1,1499,2,7,30,1499
"P1",2015-08-12,1,1499,4,8,33,1499
"P1",2015-07-25,1,1499,7,7,30,1499
"P1",2015-08-01,1,1499,7,8,31,1499
"P1",2015-07-28,1,1499,3,7,30,1499
"P1",2015-07-30,1,1499,5,7,31,1499
"P1",2015-08-03,1,1499,2,8,31,1499
"P1",2015-07-25,1,1499,7,7,30,1499
"P1",2015-08-05,1,1499,4,8,32,1499
"P1",2015-07-14,1,1499,3,7,28,1499
"P1",2015-07-28,1,1499,3,7,30,1499
"P1",2015-07-29,1,1499,4,7,31,1499
"P1",2015-07-22,1,1499,4,7,30,1499
"P1",2015-07-20,1,1499,2,7,29,1499
"P1",2015-07-29,1,1499,4,7,31,1499
"P1",2015-07-25,1,1499,7,7,30,1499
"P1",2015-07-16,1,1499,5,7,29,1499
"P1",2015-07-20,1,1499,2,7,29,1499
"P1",2015-07-22,1,1499,4,7,30,1499
"P1",2015-08-06,1,1499,5,8,32,1499
"P1",2015-07-30,1,1499,5,7,31,1499
"P1",2015-07-21,1,1499,3,7,29,1499
"P1",2015-07-22,1,1499,4,7,30,1499
"P1",2015-08-24,1,1349.1,2,8,34,1349.1
"P1",2015-09-02,1,1424.05,4,9,36,1424.05
"P1",2015-08-20,1,1349.1,5,8,34,1349.1
"P1",2015-08-19,1,1227.68,4,8,34,1227.68
"P1",2015-09-15,1,1499,3,9,37,1499
"P1",2015-08-20,1,1499,5,8,34,1499
"P1",2015-07-31,1,1499,6,7,31,1499
"P1",2015-09-04,1,1499,6,9,36,1499
"P1",2015-07-17,1,1499,6,7,29,1499
"P1",2015-07-21,1,1499,3,7,29,1499
"P1",2015-07-22,1,1499,4,7,30,1499
"P1",2015-07-22,1,1499,4,7,30,1499
"P1",2015-07-22,1,1499,4,7,30,1499
"P1",2015-07-29,1,1499,4,7,31,1499
"P1",2015-07-30,1,1499,5,7,31,1499
"P1",2015-07-27,1,1499,2,7,30,1499
"P1",2015-07-22,1,1499,4,7,30,1499
"P1",2015-07-28,1,1499,3,7,30,1499
"P1",2015-07-26,1,1499,1,7,30,1499
"P1",2015-07-19,1,1499,1,7,29,1499
"P1",2015-07-26,1,1499,1,7,30,1499
"P1",2015-08-06,1,1499,5,8,32,1499
"P1",2015-08-07,1,1499,6,8,32,1499
"P1",2015-07-18,1,1499,7,7,29,1499
"P1",2015-08-01,1,1499,7,8,31,1499
"P1",2015-08-04,1,1499,3,8,31,1499
"P1",2015-07-29,1,1499,4,7,31,1499
"P1",2015-07-27,1,1499,2,7,30,1499
"P1",2015-08-04,1,1499,3,8,31,1499
"P1",2015-07-27,1,1499,2,7,30,1499
"P1",2015-08-04,1,1499,3,8,31,1499
"P1",2015-07-28,1,1499,3,7,30,1499
"P1",2015-09-02,1,1424.05,4,9,36,1424.05
"P1",2015-08-01,1,1499,7,8,31,1499
"P1",2015-08-12,1,1499,4,8,33,1499
"P1",2015-08-06,1,1499,5,8,32,1499
"P1",2015-08-09,1,1499,1,8,32,1499
"P1",2015-08-12,1,1499,4,8,33,1499
"P1",2015-08-11,1,1499,3,8,32,1499
"P1",2015-08-12,1,1499,4,8,33,1499
"P1",2015-08-09,1,1499,1,8,32,1499
"P1",2015-08-09,1,1499,1,8,32,1499
"P1",2015-08-07,1,1499,6,8,32,1499
"P1",2015-08-08,1,1499,7,8,32,1499
"P1",2015-07-30,1,1499,5,7,31,1499
"P1",2015-08-12,1,1349.1,4,8,33,1349.1
"P1",2015-08-12,1,1499,4,8,33,1499
"P1",2015-08-04,1,1499,3,8,31,1499
"P1",2015-08-02,1,1499,1,8,31,1499
"P1",2015-07-18,1,1349.1,7,7,29,1349.1
"P1",2015-07-21,1,1499,3,7,29,1499
"P1",2015-07-28,1,1499,3,7,30,1499
"P1",2015-07-23,1,1349.1,5,7,30,1349.1
"P1",2015-08-03,1,1499,2,8,31,1499
"P1",2015-07-30,1,1499,5,7,31,1499
"P1",2015-07-30,1,1499,5,7,31,1499
"P1",2015-07-24,1,1499,6,7,30,1499
"P1",2015-07-19,1,1499,1,7,29,1499
"P1",2015-08-02,1,1499,1,8,31,1499
"P1",2015-07-23,1,1499,5,7,30,1499
"P1",2015-07-27,1,1499,2,7,30,1499
"P1",2015-07-30,1,1349.1,5,7,31,1349.1
"P1",2015-08-04,1,1499,3,8,31,1499
"P1",2015-08-05,1,1499,4,8,32,1499
"P1",2015-07-30,1,1499,5,7,31,1499
"P1",2015-08-10,1,1499,2,8,32,1499
"P1",2015-08-14,1,1499,6,8,33,1499
"P1",2015-08-12,1,1499,4,8,33,1499
"P1",2015-08-06,1,1499,5,8,32,1499
"P1",2015-09-10,1,1499,5,9,37,1499
"P1",2015-09-21,1,1499,2,9,38,1499
"P1",2015-10-01,1,1499,5,10,40,1499
"P1",2015-10-01,1,1499,5,10,40,1499
"P1",2015-10-01,1,1499,5,10,40,1499
"P1",2015-10-01,1,1499,5,10,40,1499
"P1",2015-10-08,1,1499,5,10,41,1499
"P1",2015-09-25,1,1499,6,9,39,1499
"P1",2015-10-08,1,1499,5,10,41,1499
"P1",2015-09-30,1,1499,4,9,40,1499
"P1",2015-10-05,1,1499,2,10,40,1499
"P1",2015-09-16,1,1499,4,9,38,1499
"P1",2015-10-05,1,1499,2,10,40,1499
"P1",2015-09-24,1,1499,5,9,39,1499
"P1",2015-09-30,1,1499,4,9,40,1499
"P1",2015-09-28,1,1499,2,9,39,1499
"P1",2015-10-07,1,1499,4,10,41,1499
"P1",2015-10-01,1,1499,5,10,40,1499
"P1",2015-10-05,1,1499,2,10,40,1499
"P1",2015-10-05,1,1499,2,10,40,1499
"P1",2015-10-10,1,1499,7,10,41,1499
"P1",2015-09-22,1,1499,3,9,38,1499
"P1",2015-09-25,1,1499,6,9,39,1499
"P1",2015-10-03,1,1499,7,10,40,1499
"P1",2015-10-01,1,1499,5,10,40,1499
"P1",2015-10-05,1,1499,2,10,40,1499
"P1",2015-09-21,1,1499,2,9,38,1499
"P1",2015-07-30,1,1499,5,7,31,1499
"P1",2015-08-03,1,1499,2,8,31,1499
"P1",2015-08-04,1,1499,3,8,31,1499
"P1",2015-07-19,1,1499,1,7,29,1499
"P1",2015-08-02,1,1499,1,8,31,1499
"P1",2015-07-22,1,1499,4,7,30,1499
"P1",2015-08-03,1,1499,2,8,31,1499
"P1",2015-08-04,2,2998,3,8,31,1499
"P1",2015-07-20,1,1499,2,7,29,1499
"P1",2015-07-22,1,1499,4,7,30,1499
"P1",2015-08-18,1,1499,3,8,33,1499
"P1",2015-08-05,1,1499,4,8,32,1499
"P1",2015-08-01,1,1499,7,8,31,1499
"P1",2015-08-01,1,1499,7,8,31,1499
"P1",2015-07-31,1,1499,6,7,31,1499
"P1",2015-07-31,1,1499,6,7,31,1499
"P1",2015-07-26,1,1499,1,7,30,1499
"P1",2015-08-06,1,1499,5,8,32,1499
"P1",2015-07-30,1,1499,5,7,31,1499
"P1",2015-08-05,1,1499,4,8,32,1499
"P1",2015-08-05,1,1499,4,8,32,1499
"P1",2015-08-11,1,1499,3,8,32,1499
"P1",2015-08-04,1,1499,3,8,31,1499
"P1",2015-08-06,1,1499,5,8,32,1499
"P1",2015-09-14,1,1499,2,9,37,1499
"P1",2015-08-25,1,1349.1,3,8,34,1349.1
"P1",2015-09-10,1,1499,5,9,37,1499
"P1",2015-09-02,1,1424.05,4,9,36,1424.05
"P1",2015-09-14,1,1499,2,9,37,1499
"P1",2015-09-01,1,1424.05,3,9,35,1424.05
"P1",2015-09-03,1,1499,5,9,36,1499
