"month","day","PROD_ID","QTY_ORDER","REVENUE","Price"
3,1,"P8",14,8356.05,596.860714285714
3,2,"P8",19,10711.91,563.784736842105
3,3,"P8",46,25918.43,563.444130434783
3,4,"P8",51,27500.09,539.217450980392
3,5,"P8",14,8056.55,575.467857142857
3,6,"P8",32,18209.6,569.05
3,7,"P8",14,8386,599
4,1,"P8",96,47894.9,498.905208333333
4,2,"P8",98,49735.33,507.503367346939
4,3,"P8",152,75270.86,495.203026315789
4,4,"P8",129,63583.15,492.892635658915
4,5,"P8",153,75728.94,494.960392156863
4,6,"P8",167,83328.39,498.972395209581
4,7,"P8",134,66522.65,496.437686567164
5,1,"P8",379,173972.76,459.031029023747
5,2,"P8",187,90517.24,484.049411764706
5,3,"P8",347,153999.44,443.80242074928
5,4,"P8",622,272767.35,438.532717041801
5,5,"P8",690,314399.84,455.651942028986
5,6,"P8",505,231331.39,458.08196039604
5,7,"P8",414,191990.13,463.744275362319
6,1,"P8",130,62498.3,480.756153846154
6,2,"P8",263,125994.93,479.068174904943
6,3,"P8",362,172376.8,476.179005524862
6,4,"P8",226,109384.72,484.003185840708
6,5,"P8",213,102725.17,482.27779342723
6,6,"P8",164,79819.96,486.707073170732
6,7,"P8",162,76938.54,474.929259259259
7,1,"P8",136,61940.64,455.445882352941
7,2,"P8",243,110036.09,452.82341563786
7,3,"P8",340,153536.1,451.576764705882
7,4,"P8",531,235014.02,442.587608286252
7,5,"P8",611,263088.28,430.586382978723
7,6,"P8",506,221402.53,437.554407114624
7,7,"P8",165,76283.93,462.326848484848
8,1,"P8",243,103700.34,426.75037037037
8,2,"P8",588,231273.86,393.322891156463
8,3,"P8",800,305515.05,381.8938125
8,4,"P8",1960,739910.96,377.505591836735
8,5,"P8",1391,538849.5,387.382818116463
8,6,"P8",1765,675358.74,382.639512747875
8,7,"P8",236,101039.23,428.132330508475
9,1,"P8",941,362926.26,385.681466524973
9,2,"P8",629,246654.59,392.137662957075
9,3,"P8",2872,1093217.86,380.64688718663
9,4,"P8",3051,1159366.09,379.995440839069
9,5,"P8",623,249839.84,401.027030497592
9,6,"P8",917,355590.62,387.776030534351
9,7,"P8",524,206825.38,394.704923664122
10,1,"P8",298,117070.56,392.854228187919
10,2,"P8",626,247166.37,394.83445686901
10,3,"P8",749,290938.1,388.435380507343
10,4,"P8",1308,501472.61,383.388845565749
10,5,"P8",893,352173.19,394.370873460246
10,6,"P8",619,245142.76,396.030306946688
10,7,"P8",472,184427.49,390.736207627119
